city,latitude,longitude,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m
"Sikulpuikawn, Aizawl - Mizoram PCB",23.7176342,92.7192841,1.26,1034.6,5000.0,5000.0
"Corporation Ground, Thrissur- Kerala PCB",10.522198,76.24085,61.63,1543.67,423.13,5000.0
"Deen Dayal Nagar, Sagar - MPPCB",23.8640158,78.80289321,5000.0,5000.0,5000.0,5000.0
"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,34.92,1367.17,1226.72,5000.0
India,28.63576,77.22445,45.33,208.94,3432.16,3327.81
"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,89.9,5000.0,3030.18,5000.0
"GIDC, Nandesari - Nandesari Ind. Association",22.410802,73.097923,76.15,0.0,5000.0,5000.0
"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,88.88,549.25,174.84,3517.35
"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,28.96,340.5,857.06,1145.12
"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,21.04,0.0,415.75,2398.66
"Gole Bazar, Katni - MPPCB",23.50016,80.23284,5000.0,5000.0,5000.0,5000.0
"Anand Vihar, Hapur - UPPCB",28.725645,77.749675,13.55,1772.92,5000.0,5000.0
"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,54.57,1008.04,2033.83,5000.0
"Bawana, Delhi - DPCC",28.7762,77.051074,23.65,336.82,3405.22,5000.0
"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,12.74,23.06,2285.32,5000.0
India,17.38405,78.45636,3.23,1600.84,2487.36,5000.0
"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996,32.12,0.0,2468.82,5000.0
"Wazirpur, Delhi - DPCC",28.699793,77.165453,18.21,0.0,1916.53,2932.88
"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,52.01,187.27,3308.23,3313.08
"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,42.77,491.15,3748.74,5000.0
"Narela, Delhi - DPCC",28.822836,77.101981,13.7,0.0,1538.84,5000.0
"Mundka, Delhi - DPCC",28.684678,77.076574,83.44,274.28,1233.54,3799.66
"Najafgarh, Delhi - DPCC",28.570173,76.933762,19.08,4468.72,2068.42,5000.0
"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694,10.84,1846.85,914.32,5000.0
"Civil Lines, Ajmer - RSPCB",26.470859,74.646594,2.49,1885.24,5000.0,5000.0
"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,6.77,1654.53,3886.86,2669.09
"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158,28.82,1098.51,5000.0,5866.24
"Victoria, Kolkata - WBPCB",22.5448082,88.3403691,26.33,778.38,5000.0,4312.4
"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,24.82,1066.25,5000.0,5000.0
"Muradpur, Patna - BSPCB",25.619651,85.147382,41.98,271.45,5457.88,4397.41
"Samanpura, Patna - BSPCB",25.596727,85.085624,19.08,1777.65,2787.16,3824.92
"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,5000.0,5000.0,5000.0,5000.0
"Thavakkara, Kannur - Kerala PCB",11.875,75.3732,13.62,55.7,945.44,5000.0
"Manali Village, Chennai - TNPCB",13.1662,80.2584,18.1,415.86,2934.91,2915.94
"Sector 30, Faridabad - HSPCB",28.4417,77.3217,3.23,1002.75,1564.18,5000.0
"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,100.28,1717.9,5463.95,5000.0
"Sector-51, Gurugram - HSPCB",28.4227,77.0667,1.79,275.08,4267.58,1670.78
"Rohini, Delhi - DPCC",28.732528,77.11992,24.48,641.16,2152.43,4018.88
"Ghusuri, Howrah - WBPCB",22.611968,88.347422,6.15,48.09,7093.0,6750.27
"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457,23.21,344.74,383.7,4805.46
"Lumpyngngad, Shillong - Meghalaya PCB",25.5586,91.8985,2.41,1109.52,189.9,5000.0
"Teri Gram, Gurugram - HSPCB",28.4275,77.1465,61.29,914.69,3048.74,4040.12
"PWD Juction, Kohima - NPCB",25.6635413,94.0989878,15.51,2827.55,1735.98,5000.0
"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056,10.27,871.45,5000.0,5000.0
"Railway Colony, Guwahati - APCB",26.181742,91.78063,11.57,2412.29,5000.0,5000.0
"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142,8.33,514.87,6802.35,4473.48
"City Center, Gwalior - MPPCB",26.203442,78.193251,26.07,1309.8,5000.0,5000.0
"Sector 11, Faridabad - HSPCB",28.376058,77.315741,12.79,331.86,4407.27,5000.0
"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,35.64,1174.13,5000.0,5000.0
"Sector-12, Karnal - HSPCB",29.6953,77.0027,14.82,1303.7,1336.7,5000.0
"Marhatal, Jabalpur - MPPCB",23.168606,79.932247,24.39,9.53,3150.86,5000.0
"T T Nagar, Bhopal - MPPCB",23.233584,77.400574,56.53,64.94,1221.11,5000.0
