city,latitude,longitude,temperature,humidity,wind_speed,wind_direction
"Sector-10, Gandhinagar - GPCB",23.221714,72.654328,26.32,16,4.54,337
"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,27.27,17,1.46,53
"Hardev Nagar, Bathinda - PPCB",30.233011,74.907758,23.81,18,2.37,249
"Kalal Majra, Khanna - PPCB",30.736056,76.209694,23.57,20,1.13,144
"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,28.7,15,3.19,343
"Mahape, Navi Mumbai - MPCB",19.1135051,73.008978,29.88,28,2.57,41
"H.B. Colony, Bhiwani - HSPCB",28.806223,76.141105,25.46,17,2.42,243
"Kurla, Mumbai - MPCB",19.0863,72.8888,29.47,41,2.95,33
"Belur Math, Howrah - WBPCB",22.629801,88.352017,24.28,78,2.71,195
"General Hospital, Mandikhera - HSPCB",27.9002,76.9938,25.84,17,1.58,288
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462,29.36,45,3.14,28
"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,24.87,18,2.22,265
"Jadavpur, Kolkata - WBPCB",22.49929,88.36917,24.4,79,2.63,192
"Murthal, Sonipat - HSPCB",29.0272,77.0621,23.35,22,1.35,21
"F-Block, Sirsa - HSPCB",29.5364,75.0158,24.33,18,1.79,231
"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609,25.44,18,2.17,271
"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418,19.48,71,3.69,118
"Powai, Mumbai - MPCB",19.1375,72.915056,29.54,37,2.86,31
"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,28.31,16,0.67,14
"Sector-18, Panipat - HSPCB",29.435587,76.975531,22.46,23,1.85,52
"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,28.72,57,3.84,19
"Patparganj, Delhi - DPCC",28.623748,77.287205,28.01,16,1.04,48
"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246,26.54,19,1.08,352
"GIDC, Ankleshwar - GPCB",21.613267,73.010555,29.51,16,3.09,23
"Police Lines, Jind - HSPCB",29.307814,76.337619,23.91,21,2.74,265
"Patti Mehar, Ambala - HSPCB",30.379589,76.778328,22.22,22,3.16,109
"Borivali East, Mumbai - MPCB",19.227474,72.864394,29.98,36,2.75,27
"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765,23.5,90,2.01,102
"Sion, Mumbai - MPCB",19.047,72.8746,29.18,47,3.16,29
"Phase-1 GIDC, Vapi - GPCB",20.362421,72.918013,28.43,26,2.67,45
"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,24.28,19,2.59,244
"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115,24.32,17,1.39,208
"Rishi Nagar, Kaithal - HSPCB",29.8006,76.4155,22.05,23,2.1,311
"Nathu Colony, Ballabgarh - HSPCB",28.3419248,77.319699,26.15,17,0.81,30
"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,20.76,64,5.74,94
"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,21.33,62,5.79,96
"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,20.45,66,5.58,95
"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941,24.62,19,0.54,137
"Knowledge Park - III, Greater Noida - UPPCB",28.47272,77.482,25.27,19,1.17,86
"Sector-1, Noida - UPPCB",28.589247,77.321962,27.73,16,0.97,57
"Fort William, Kolkata - WBPCB",22.55664,88.342674,24.53,77,2.66,193
"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,20.84,64,5.65,96
"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,20.68,64,5.47,100
"Yamunapuram, Bulandshahr - UPPCB",28.406963,77.849831,24.41,20,1.31,31
"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663,25.77,19,1.14,84
"Vile Parle West, Mumbai - MPCB",19.10861,72.83622,29.46,48,3.32,22
"Sector-116, Noida - UPPCB",28.56923,77.393848,26.84,17,1.03,75
"Loni, Ghaziabad - UPPCB",28.757294,77.278792,26.61,18,1.78,47
"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,24.24,22,0.89,32
"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,25.13,18,1.29,2
"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879,22.47,20,0.26,295
"MD University, Rohtak - HSPCB",28.87793,76.620825,24.78,20,2.68,261
"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,23.57,52,4.55,110
"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213,26.18,14,2.88,38
"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,24.88,52,2.81,104
"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,25.42,48,2.83,101
"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723,24.06,20,0.62,137
"Khadakpada, Kalyan - MPCB",19.25292,73.142019,29.73,15,2.17,24
"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354,24.44,19,0.59,135
"Sikulpuikawn, Aizawl - Mizoram PCB",23.7176342,92.7192841,14.08,70,1.05,122
"Corporation Ground, Thrissur- Kerala PCB",10.522198,76.24085,23.68,90,1.58,105
"Deen Dayal Nagar, Sagar - MPPCB",23.8640158,78.80289321,25.58,19,1.64,45
"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,27.28,34,4.49,90
India,28.63576,77.22445,28.1,16,0.98,29
"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,18.82,71,1.4,156
"GIDC, Nandesari - Nandesari Ind. Association",22.410802,73.097923,28.59,15,4.1,335
"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,25.18,75,2.0,25
"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,26.12,19,1.28,28
"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,26.53,18,0.59,42
"Gole Bazar, Katni - MPPCB",23.50016,80.23284,24.46,23,1.61,49
"Anand Vihar, Hapur - UPPCB",28.725645,77.749675,21.41,26,0.43,66
"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,26.98,18,0.62,27
"Bawana, Delhi - DPCC",28.7762,77.051074,24.69,21,1.1,325
"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,26.35,18,1.47,43
India,17.38405,78.45636,23.99,63,3.35,154
"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996,23.59,60,3.45,59
"Wazirpur, Delhi - DPCC",28.699793,77.165453,26.37,18,0.99,8
"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,26.47,18,1.15,24
"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,26.72,18,0.6,323
"Narela, Delhi - DPCC",28.822836,77.101981,24.39,21,1.08,353
"Mundka, Delhi - DPCC",28.684678,77.076574,26.32,19,1.03,314
"Najafgarh, Delhi - DPCC",28.570173,76.933762,24.96,20,2.3,273
"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694,27.0,31,5.03,107
"Civil Lines, Ajmer - RSPCB",26.470859,74.646594,22.71,18,1.24,264
"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,25.23,51,2.9,101
"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158,24.93,52,3.01,101
"Victoria, Kolkata - WBPCB",22.5448082,88.3403691,24.34,79,2.65,193
"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,24.57,52,3.11,105
"Muradpur, Patna - BSPCB",25.619651,85.147382,25.54,47,2.98,102
"Samanpura, Patna - BSPCB",25.596727,85.085624,25.3,51,2.86,101
"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,23.42,22,2.01,231
"Thavakkara, Kannur - Kerala PCB",11.875,75.3732,25.27,85,1.69,336
"Manali Village, Chennai - TNPCB",13.1662,80.2584,24.25,72,3.34,94
"Sector 30, Faridabad - HSPCB",28.4417,77.3217,25.51,20,0.59,48
"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,23.92,50,3.21,115
"Sector-51, Gurugram - HSPCB",28.4227,77.0667,25.25,20,1.57,279
"Rohini, Delhi - DPCC",28.732528,77.11992,27.21,17,0.99,354
"Ghusuri, Howrah - WBPCB",22.611968,88.347422,23.99,80,2.71,195
"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457,24.1,81,2.6,194
"Lumpyngngad, Shillong - Meghalaya PCB",25.5586,91.8985,13.27,76,1.03,207
"Teri Gram, Gurugram - HSPCB",28.4275,77.1465,25.43,19,0.92,299
"PWD Juction, Kohima - NPCB",25.6635413,94.0989878,16.61,58,0.96,160
"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056,22.59,43,3.31,110
"Railway Colony, Guwahati - APCB",26.181742,91.78063,24.36,50,1.31,205
"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142,24.39,79,2.66,192
"City Center, Gwalior - MPPCB",26.203442,78.193251,24.76,23,1.8,347
"Sector 11, Faridabad - HSPCB",28.376058,77.315741,24.73,21,0.7,36
"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,22.4,63,4.76,94
"Sector-12, Karnal - HSPCB",29.6953,77.0027,20.03,26,0.2,135
"Marhatal, Jabalpur - MPPCB",23.168606,79.932247,24.7,23,1.79,49
"T T Nagar, Bhopal - MPPCB",23.233584,77.400574,25.05,19,2.41,350
"Sector-25, Chandigarh - CPCC",30.751462,76.762879,21.61,24,2.44,122
"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,26.13,75,1.96,107
"Sahilara, Maihar - KJS Cements",24.2613009,80.7231783,24.24,21,0.81,346
"Ballygunge, Kolkata - WBPCB",22.5367507,88.3638022,24.61,77,2.65,193
"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839,24.23,21,1.24,66
"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059,24.73,21,0.7,36
"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944,25.43,19,0.92,299
"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,24.39,44,2.01,102
"Royapuram, Chennai - TNPCB",13.1036,80.2909,25.02,69,3.97,94
"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642,24.77,70,3.81,94
"Meelavittan, Thoothukudi - TNPCB",8.816428,78.099039,25.66,68,5.3,38
"Arumbakkam, Chennai - TNPCB",13.0664,80.2112,24.61,71,3.5,93
"Stuart Hill, Madikeri - KSPCB",12.415911,75.73505,17.18,73,1.56,88
"Chandni Chowk, Delhi - IITM",28.656756,77.227234,26.89,18,0.98,29
"Borivali East, Mumbai - IITM",19.23241,72.86895,29.99,34,2.75,27
"Mhada Colony, Pune - IITM",18.57304,73.927715,26.64,18,3.06,93
"Transport Nagar-Nigdi, Pune - IITM",18.664282,73.763966,26.53,17,2.22,85
"Malad West, Mumbai - IITM",19.19709,72.82204,29.65,45,3.27,20
"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,26.61,18,2.42,103
"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084,29.62,41,3.09,27
"Khindipada-Bhandup West, Mumbai - IITM",19.164394,72.928297,29.75,31,2.73,35
"Mulund West, Mumbai - MPCB",19.175,72.9419,29.54,29,2.67,33
"Diwator Nagar, Koppal - KSPCB",15.34763,76.181767,26.48,51,5.92,104
"Kandivali East, Mumbai - MPCB",19.2058,72.8682,29.93,36,2.85,26
"Perungudi, Chennai - TNPCB",12.9533,80.2357,25.41,68,4.17,94
"Pan Bazaar, Guwahati - APCB",26.1875,91.744194,24.36,49,1.34,207
"Kadri, Mangalore - KSPCB",12.88925,74.853,26.19,82,1.52,268
"Naubad, Bidar - KSPCB",17.930306,77.482194,24.78,39,1.48,65
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",13.4127,80.1081,22.89,81,1.69,118
"Devaraj Urs Badavane, Davanagere - KSPCB",14.4758,75.9052,26.47,43,5.37,91
"Hadapsar, Pune - IITM",18.501793,73.927532,26.37,18,2.87,103
"Jawahar Nagar, Puducherry - PPCC",11.9309,79.8027,24.25,74,4.22,72
"Rajbagh, Srinagar - JKSPCB",34.06621,74.81982,14.47,49,3.49,329
"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,22.68,44,1.46,332
"Jhunsi, Prayagraj - UPPCB",25.425602,81.917152,24.42,24,0.97,73
"B R Ambedkar University, Lucknow - UPPCB",26.766433000000003,80.927299,23.66,23,1.27,45
"Motilal Nehru NIT, Prayagraj - UPPCB",25.494,81.863,24.92,23,0.87,34
"Rakhial, Ahmedabad - IITM",23.016834,72.625775,28.42,15,3.55,343
"Gyaspur, Ahmedabad - IITM",22.977134,72.553024,27.96,16,3.55,347
