date,pm2_5,pm10,no2,so2,co,ozone,station
2025-01-03,35.85,70.4,17.42,7.97,0.72,29.54,BENGELURU
2025-01-04,34.53,91.23,15.13,5.46,0.83,57.02,BENGELURU
2025-01-05,19.87,45.17,15.16,5.73,0.73,27.08,BENGELURU
2025-01-06,26.45,76.36,15.89,4.95,0.68,19.98,BENGELURU
2025-01-07,16.73,79.13,14.78,3.85,0.5,23.49,BENGELURU
2025-01-08,16.78,78.38,17.31,5.29,0.84,25.86,BENGELURU
2025-01-09,16.53,65.51,16.41,4.66,0.7528387096774194,27.66,BENGELURU
2025-01-10,18.43,77.53526315789475,17.0,3.45,0.5,27.82,BENGELURU
2025-01-11,21.43,83.3,22.86,9.2,0.75,23.55,BENGELURU
2025-01-12,16.81,50.23,19.36,10.05,0.8,25.23,BENGELURU
2025-02-01,48.15,94.52,16.95,7.39,0.72,32.49,BENGELURU
2025-02-02,37.21,73.09,17.68,8.03,0.92,11.96,BENGELURU
2025-02-03,35.2,69.11,17.43,6.292418300653595,0.49,29.55,BENGELURU
2025-02-04,36.9,89.99,15.43,5.89,0.78,43.79,BENGELURU
2025-02-05,14.51,53.55,15.84,6.06,0.89,27.14,BENGELURU
2025-02-06,28.13,73.26,15.16,6.04,0.19,19.88,BENGELURU
2025-02-07,17.88,77.74,16.79,4.08,0.51,21.94,BENGELURU
2025-02-08,18.59,87.13,17.14,5.17,0.84,25.63,BENGELURU
2025-02-09,18.9,68.94,16.7,4.23,0.7528387096774194,27.83,BENGELURU
2025-02-10,15.26,77.53526315789475,16.7,4.04,0.52,27.78,BENGELURU
2025-02-11,18.46,78.19,22.82,8.56,0.75,25.73,BENGELURU
2025-02-12,17.25,49.87,19.33,8.02,0.7,25.23,BENGELURU
2025-03-01,43.45,85.3,16.74,7.23,0.8,33.94,BENGELURU
2025-03-02,40.28,79.08,17.74,8.13,1.0,38.15,BENGELURU
2025-03-03,38.98,76.54,17.32,6.292418300653595,0.8,29.68,BENGELURU
2025-03-04,26.73,73.97,15.62,5.86,0.86,19.22,BENGELURU
2025-03-05,18.6,45.78,15.51,6.08,1.0,27.09,BENGELURU
2025-03-06,28.42,71.12,15.53,5.08,2.24,19.92,BENGELURU
2025-03-07,17.83,73.66,16.76,4.42,0.55,21.93,BENGELURU
2025-03-08,17.42,70.28,16.54,4.73,0.9,25.75,BENGELURU
2025-03-09,17.69,62.87,16.07,4.14,0.7528387096774194,27.78,BENGELURU
2025-03-10,17.95,77.53526315789475,16.6,3.74,0.5,27.73,BENGELURU
2025-03-11,20.29,75.11,22.92,7.83,0.68,24.14,BENGELURU
2025-03-12,15.53,47.67,19.61,8.67,0.74,25.29,BENGELURU
2025-04-01,51.16,100.42,16.79,7.43,0.8,32.61,BENGELURU
2025-04-02,41.09,80.66,18.72,8.62,1.55,38.15,BENGELURU
2025-04-03,47.96,94.14,17.56,6.292418300653595,0.96,29.49,BENGELURU
2025-04-04,18.59,59.34,15.11,5.3,0.69,19.11,BENGELURU
2025-04-05,19.76,61.78,15.45,5.91,0.82,27.13,BENGELURU
2025-04-06,26.16,78.86,15.53,5.02,0.57,19.78,BENGELURU
2025-04-07,16.14,74.32,16.76,3.96,0.69,22.92,BENGELURU
2025-04-08,17.16,63.02,16.61,6.51,0.93,25.86,BENGELURU
