city,latitude,longitude,pollutant,value,last_updated
"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,o3,78.6,2026-03-03T12:30:00Z
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,pm25,66.0,2026-03-02T07:00:00Z
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,pm10,178.0,2026-03-02T07:00:00Z
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,so2,3.6,2026-03-02T07:00:00Z
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,o3,49.3,2026-03-02T07:00:00Z
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,co,0.4,2026-03-02T07:00:00Z
"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,no2,15.7,2026-03-02T07:00:00Z
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,o3,27.0,2026-03-03T12:15:00Z
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,pm25,35.51,2026-03-03T12:15:00Z
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,so2,25.07,2026-03-03T12:15:00Z
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,no2,18.91,2026-03-03T12:15:00Z
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,co,0.6,2026-03-03T12:15:00Z
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,pm10,55.77,2026-03-03T12:15:00Z
"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,no2,15.9,2026-03-03T12:30:00Z
"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,o3,124.0,2026-03-03T12:30:00Z
"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,so2,28.2,2026-03-03T12:30:00Z
"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,co,0.86,2026-03-03T12:30:00Z
"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,pm25,31.0,2026-03-03T12:30:00Z
"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,pm10,89.0,2026-03-03T12:30:00Z
"Peenya, Bengaluru - CPCB",13.0270199,77.494094,co,0.886,2026-03-03T12:30:00Z
"Peenya, Bengaluru - CPCB",13.0270199,77.494094,pm25,24.03,2026-03-03T12:30:00Z
"Peenya, Bengaluru - CPCB",13.0270199,77.494094,o3,29.02,2026-03-03T12:30:00Z
"Peenya, Bengaluru - CPCB",13.0270199,77.494094,no2,12.48,2026-03-03T12:30:00Z
"Peenya, Bengaluru - CPCB",13.0270199,77.494094,pm10,104.9,2026-03-03T12:30:00Z
"Peenya, Bengaluru - CPCB",13.0270199,77.494094,so2,11.21,2026-03-03T12:30:00Z
"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,no2,17.31,2026-03-03T12:30:00Z
"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,so2,17.1,2026-03-03T12:30:00Z
"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,o3,30.55,2026-03-03T12:30:00Z
"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,co,1.09,2026-03-03T12:30:00Z
"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,pm25,47.43,2026-03-03T12:30:00Z
"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,pm10,110.31,2026-03-03T12:30:00Z
"Anam Kala Kendram, Rajamahendravaram - APPCB",16.9872867,81.7363176,pm25,37.0,2026-03-03T12:30:00Z
"Anam Kala Kendram, Rajamahendravaram - APPCB",16.9872867,81.7363176,o3,17.2,2026-03-03T12:30:00Z
"Anam Kala Kendram, Rajamahendravaram - APPCB",16.9872867,81.7363176,pm10,85.0,2026-03-03T12:30:00Z
"Anam Kala Kendram, Rajamahendravaram - APPCB",16.9872867,81.7363176,no2,19.4,2026-03-03T12:30:00Z
