station,date,to_date,pm25,pm10,no2,so2,co,ozone
AHEMEDABAD,2026-01-01,02-01-2026 00:00,41.93,91.31,13.47,9.91,0.0,19.69
AHEMEDABAD,2026-01-02,02-02-2026 00:00,72.68,152.24,16.73,8.48,1.1,20.77
AHEMEDABAD,2026-02-01,03-01-2026 00:00,35.43,76.59,15.13,16.66,0.31,18.7
AHEMEDABAD,2026-02-02,03-02-2026 00:00,45.56,93.7,9.66,13.16,0.84,19.19
AHEMEDABAD,2026-03-01,04-01-2026 00:00,40.65,80.8,17.05,5.14,0.62,17.44
AHEMEDABAD,2026-03-02,04-02-2026 00:00,46.7,98.5,10.97,13.77,0.62,15.57
AHEMEDABAD,2026-04-01,05-01-2026 00:00,41.1,81.8,19.91,12.74,0.67,17.53
AHEMEDABAD,2026-04-02,05-02-2026 00:00,36.17,78.49,8.03,19.43,0.49,26.18
AHEMEDABAD,2026-05-01,06-01-2026 00:00,38.83,79.84,13.77,9.07,0.46,23.78
AHEMEDABAD,2026-05-02,06-02-2026 00:00,36.56,82.32,9.15,7.95,0.68,25.34
AHEMEDABAD,2026-06-01,07-01-2026 00:00,42.12,83.15,21.34,10.13,0.83,21.63
AHEMEDABAD,2026-06-02,07-02-2026 00:00,45.97,106.13,17.01,11.68,0.62,26.55
AHEMEDABAD,2026-07-01,08-01-2026 00:00,48.24,99.35,22.25,22.9,0.73,22.11
AHEMEDABAD,2026-07-02,08-02-2026 00:00,64.05,147.56,13.81,11.74,0.76,23.04
AHEMEDABAD,2026-08-01,09-01-2026 00:00,50.01,101.43,17.43,12.59,0.36,25.95
AHEMEDABAD,2026-08-02,09-02-2026 00:00,64.26,143.34,14.78,13.77,0.67,24.13
AHEMEDABAD,2026-09-01,10-01-2026 00:00,47.89,96.69,18.65,6.39,0.3,28.07
AHEMEDABAD,2026-09-02,10-02-2026 00:00,71.4,157.08,15.72,23.66,0.98,29.14
