city,latitude,longitude,timestamp,CO,NO2,O3,PM10,PM2.5,SO2,temperature,humidity,wind_speed,wind_direction,distance_to_road_km,distance_to_industry_km,distance_to_dump_km,distance_to_farmland_km,year,month,day,hour,day_of_week,season,road_proximity,industry_proximity,pollution_source,date
9,18.5204,73.8567,1140,-0.222291212,0.147266862,0.09067293,-0.583484129,41.6,0.325708873,-0.375591472,-0.336116672,-0.090758652,260,-0.65500775,0.006122176,-1.523558817,-0.895962265,2025,12,31,17,2,0,60.6530465,0.700900457,Natural,1140
6,22.5726,88.3639,224,-0.461352508,-0.855765808,2.432889845,0.064245579,68,0.401030507,1.450517357,-0.967937682,0.010085577,333,1.203116601,-0.169087021,0.232567624,1.178112943,2025,11,23,9,6,3,24.58784925,0.780706565,Natural,224
5,26.9124,75.7873,2099,-0.27727531,-0.519724406,-0.214005693,-0.758034668,31.4,-0.477721886,-0.430928103,-0.287515056,-0.468924509,107,-1.385463387,0.502224792,1.501212903,-0.651178842,2026,2,10,4,1,0,143.257835,0.543568428,Natural,2099
9,18.5204,73.8567,511,-0.781694645,-0.927047318,0.947581558,-0.703356186,36.3,-0.458891478,1.561190619,-1.113742531,0.917683636,76,-0.65500775,0.006122176,-1.523558817,-0.895962265,2025,12,5,10,4,0,60.6530465,0.700900457,Natural,511
0,23.0225,72.5714,1057,-0.623914189,-0.596097452,0.204927414,-0.734901464,34.5,-0.094836915,0.638913433,-0.87073445,-0.418502395,90,-1.303405274,0.44479552,0,0.787370434,2025,12,28,6,6,0,124.2483287,0.558069869,Natural,1057
3,28.6139,77.209,382,0.088488473,-0.280422195,-0.594853972,-0.228073997,58.6,0.093467169,-1.592997358,0.392907571,-0.494135566,289,0.68565084,1.680996712,-0.605629918,1.137263421,2025,11,30,0,6,3,29.46746081,0.354495375,Natural,382
4,17.385,78.4867,86,-0.193603856,0.478216728,-0.194963279,-0.217558904,58.1,0.106020775,0.325339189,-0.627726369,0.035296634,45,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,11,17,15,0,3,19.88281506,0.396039113,Natural,86
9,18.5204,73.8567,1206,-0.602398673,-0.69792818,0.566733279,0.200941784,78,-0.791562027,1.302953007,-1.356750612,-0.721035081,39,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,1,3,12,5,0,60.6530465,0.700900457,Natural,1206
9,18.5204,73.8567,1324,-1.018365328,-1.028878046,0.738115004,-1.065075374,17.3,-1.036357336,1.210725288,-2.182978087,0.917683636,99,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,1,8,10,3,0,60.6530465,0.700900457,Natural,1324
0,23.0225,72.5714,1324,-0.461352508,-0.733568935,1.214175353,-0.131335144,62.2,0.244110437,1.100052026,-1.016539299,-0.090758652,291,-1.303405274,0.44479552,0,0.787370434,2026,1,8,10,3,0,124.2483287,0.558069869,Natural,1324
1,12.9716,77.5946,1030,0.078926021,-0.448442896,0.185885,-0.375285295,49.7,-0.722517196,-0.61538354,0.733118885,0.413462492,83,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,27,3,5,0,45.6609975,2.722287664,Natural,1030
4,17.385,78.4867,368,-0.671726448,-0.799758908,0.90949673,-0.779064853,31.7,-0.446337872,1.081606482,-1.113742531,-0.216813937,81,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,11,29,10,5,3,19.88281506,0.396039113,Natural,368
1,12.9716,77.5946,1070,-0.619132963,-0.275330659,-0.575811558,-0.652883741,37.6,-0.891990872,-0.596937997,0.976126966,1.245427379,88,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,28,19,6,0,45.6609975,2.722287664,Natural,1070
5,26.9124,75.7873,325,0.253440767,0.254189126,-0.099751209,-0.307988701,54.1,-0.264310591,-0.449373647,0.295704339,-0.342869223,78,-1.385463387,0.502224792,1.501212903,-0.651178842,2025,11,27,14,3,3,143.257835,0.543568428,Natural,325
4,17.385,78.4867,422,-0.339431247,-0.137859176,-0.385387418,-0.602411296,40.9,-0.270587394,0.325339189,0.14989949,-0.216813937,64,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,1,17,0,0,19.88281506,0.396039113,Natural,422
1,12.9716,77.5946,1717,-0.96338123,-0.896498099,-0.194963279,-0.919967095,25,-1.011250125,-0.652274628,1.170533431,0.842050464,66,-0.239075493,-1.266572114,-1.350553765,0.075327959,2026,1,24,23,5,0,45.6609975,2.722287664,Natural,1717
2,13.0827,80.2707,1774,-0.841459969,-1.013603437,0.547690865,-0.305885683,47.6,-1.06774135,1.044715395,0.392907571,1.573171123,58,0.17016681,-0.988958675,0,1.14039886,2026,1,27,9,1,0,36.72855661,1.671052835,Natural,1774
4,17.385,78.4867,731,-0.344212473,0.055619207,0.319181898,-0.350049072,51.6,-0.258033788,0.694250064,-1.162344147,0.010085577,63,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,14,14,6,0,19.88281506,0.396039113,Natural,731
4,17.385,78.4867,561,-0.432665152,-0.356795241,0.623860521,-0.568763,42.3,-0.295694605,1.136943113,-1.453953844,0.79162835,51,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,7,12,6,0,19.88281506,0.396039113,Natural,561
3,28.6139,77.209,2010,0.074144795,-0.621555134,1.157048111,-0.337430961,51.3,0.338262479,0.140883752,-0.627726369,1.371482665,293,0.68565084,1.680996712,-0.605629918,1.137263421,2026,2,6,7,4,0,29.46746081,0.354495375,Natural,2010
4,17.385,78.4867,543,-0.131447919,-0.000387693,-0.252090521,-0.087171755,65.2,0.313155268,0.085547121,-0.141710207,-0.519346624,70,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,6,18,5,0,19.88281506,0.396039113,Natural,543
7,26.8467,80.9462,2049,-0.265322245,-0.708111253,-0.499641902,-0.005154032,53.4,-0.201542563,-1.371650833,1.510744744,0.463884607,297,-2.40E-15,2.67E-16,0,-3.02E-16,2026,2,8,0,6,0,39.98069838,0.703412965,Natural,2049
6,22.5726,88.3639,78,-0.788866484,-1.003420364,1.823532599,-0.764343724,32,-0.822946041,1.358289638,-0.919336066,0.438673549,357,1.203116601,-0.169087021,0.232567624,1.178112943,2025,11,17,7,0,3,24.58784925,0.780706565,Natural,78
2,13.0827,80.2707,830,-0.545023962,-0.718294326,0.28109707,-0.087171755,59.4,-0.967312506,0.565131258,0.635915652,0.564728835,45,0.17016681,-0.988958675,0,1.14039886,2025,12,18,18,3,0,36.72855661,1.671052835,Natural,830
5,26.9124,75.7873,1773,-0.690851352,-0.932138854,0.547690865,-0.005154032,67.1,-0.465168281,0.085547121,0.101297874,2.052181209,187,-1.385463387,0.502224792,1.501212903,-0.651178842,2026,1,27,8,1,0,143.257835,0.543568428,Natural,1773
2,13.0827,80.2707,1002,-0.827116291,-0.957596536,0.223969828,-0.652883741,33.6,-1.06774135,0.565131258,0.878923733,0.589939893,31,0.17016681,-0.988958675,0,1.14039886,2025,12,25,23,3,0,36.72855661,1.671052835,Natural,1002
0,23.0225,72.5714,2125,-0.908397132,-0.850674272,0.357266725,-0.88421578,17.2,-0.659749168,1.210725288,-1.162344147,0.136140863,63,-1.303405274,0.44479552,0,0.787370434,2026,2,11,6,2,0,124.2483287,0.558069869,Natural,2125
2,13.0827,80.2707,1557,-0.70519503,-0.916864245,0.795242246,-0.423654721,46.4,-0.515382703,1.266061919,-0.48192152,0.060507692,91,0.17016681,-0.988958675,0,1.14039886,2026,1,18,7,6,0,36.72855661,1.671052835,Natural,1557
2,13.0827,80.2707,2111,-0.982506133,-0.636829743,0.300139484,-0.583484129,30.9,-1.023803731,0.67580452,0.53871242,0.892472579,62,0.17016681,-0.988958675,0,1.14039886,2026,2,10,16,1,0,36.72855661,1.671052835,Natural,2111
