location_id,name,locality,latitude,longitude,timezone,pollutants_available,isMobile,isMonitor,last_updated_utc
136,Los Vientos,Samut Prakan,-32.833639,-70.99693,America/Santiago,"co,o3,pm10,so2",False,True,2016-02-16T18:00:00Z
137,Harrow - Stanmore,Harrow,51.617327,-0.298775,Europe/London,"no2,pm10,pm25",False,True,2023-08-14T09:00:00Z
138,"Lat Phrao Rd., Wang Thonglang",Harrow,13.792635009230002,100.59607755884,Asia/Bangkok,"co,no2,o3,pm10,so2",False,True,2020-09-23T04:00:00Z
139,Alto Hospicio,Harrow,-20.259620485825,-70.088653564453,America/Santiago,pm25,False,True,2016-02-23T11:00:00Z
140,Alto Hospicio,Harrow,-20.290859340668,-70.09955406189,America/Santiago,pm25,False,True,2016-02-23T12:00:00Z
141,London Harlington - UKA00472,London,51.48878999962389,-0.4416139999354945,Europe/London,"no2,o3,pm10,pm25",False,True,2026-03-03T11:00:00Z
142,Chengdu,Chengdu,30.63,104.07,Asia/Shanghai,pm25,False,True,2023-02-23T19:00:00Z
143,Shanghai,Shanghai,31.21,121.44,Asia/Shanghai,pm25,False,True,2023-05-22T06:00:00Z
144,Guangzhou,Guangzhou,23.12,113.32,Asia/Shanghai,pm25,False,True,2023-08-18T12:00:00Z
145,Escuela E-10,Guangzhou,-22.087,-70.193253,America/Santiago,"co,no2,o3,pm10,pm25,so2",False,True,2016-02-24T21:00:00Z
146,Southwark A2 Old Kent Road - UKA00558,London,51.4804989994662,-0.0595500002089531,Europe/London,"no2,pm10,pm25",False,True,2026-03-03T11:00:00Z
147,Greenwich - Eltham,Greenwich,51.45258,0.070766,Europe/London,"no2,o3,pm10,pm25",False,True,2024-05-30T08:00:00Z
148,London Bloomsbury - UKA00211,London,51.52228999923011,-0.1258890002113339,Europe/London,"no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
149,Ealing Horn Lane,London,51.51895,-0.265617,Europe/London,"no2,pm10",False,True,2026-03-03T11:00:00Z
150,London Haringey Priory Park South - UKA00568,London,51.58412799971813,-0.1252540000016108,Europe/London,"no2,o3,pm10,pm25",False,True,2026-03-03T11:00:00Z
151,Tower Hamlets - Mile End Road,Tower Hamlets,51.5225294860844,-0.0421550991900347,Europe/London,"no2,pm25",False,True,2026-03-03T10:00:00Z
152,Camden Kerbside,London,51.54421,-0.175269,Europe/London,"no2,pm10,pm25",False,True,2026-03-03T11:00:00Z
153,London Hillingdon - UKA00266,London,51.49632999971629,-0.4608609995824734,Europe/London,"no2,o3,pm10,pm25",False,True,2026-03-03T11:00:00Z
154,London Marylebone Road - UKA00315,London,51.52252999942243,-0.1546110000804996,Europe/London,"co,no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
155,London N. Kensington - UKA00253,London,51.52104999941992,-0.213491999744541,Europe/London,"co,no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
156,London Teddington,London,51.42099,-0.339647,Europe/London,"no2,o3",False,True,2016-07-27T00:00:00Z
157,Bexley - Slade Green Fidas,Bexley,51.4659832746662,0.184877126994369,Europe/London,"no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
158,London Teddington Bushy Park - UKA00572,London,51.425285999344624,-0.3456059996846904,Europe/London,"pm10,pm25",False,True,2026-03-03T11:00:00Z
159,London Westminster - UKA00435,London,51.4946699996591,-0.1319309996420449,Europe/London,"no2,o3,pm25",False,True,2026-03-03T11:00:00Z
160,Derry,London,55.001225,-7.329115,Europe/London,"no2,o3,pm10,pm25,so2",False,True,2016-03-02T22:00:00Z
161,Clinton C403/C304/AH113,London,29.7337263,-95.2575931,America/Chicago,"co,no2,o3,so2",False,True,2016-03-06T19:00:00Z
162,Houston Deer Park C3,Houston-Sugar Land-Baytown,29.670025,-95.128508,America/Chicago,"co,no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
163,Danciger C618,Houston-Sugar Land-Baytown,29.144291,-95.756601,America/Chicago,"no2,o3",False,True,2016-03-06T17:00:00Z
164,Houston North Loop C,Houston-Sugar Land-Baytown,29.81453,-95.38769,America/Chicago,"co,no2,pm25",False,True,2026-03-02T12:00:00Z
165,UH WG Jones Forest C698,Houston-Sugar Land-Baytown,30.2362,-95.4832,America/Chicago,"co,o3",False,True,2016-03-06T18:00:00Z
166,UH Moody Tower C695,Houston-Sugar Land-Baytown,29.7176,-95.3414,America/Chicago,"co,o3",False,True,2016-03-06T18:00:00Z
167,UH Coastal Center C697,Houston-Sugar Land-Baytown,29.3879,-95.0414,America/Chicago,"co,o3",False,True,2016-03-06T18:00:00Z
168,Houston East C1/G316,Houston-Sugar Land-Baytown,29.7679965,-95.2205822,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
169,Houston Texas Avenue C411,Houston-Sugar Land-Baytown,29.752778,-95.350278,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
170,Lake Jackson C1016,Houston-Sugar Land-Baytown,29.0437592,-95.4729462,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
171,U of H,Houston-Sugar Land-Baytown,29.5741,-95.6497,America/Chicago,o3,False,True,2016-03-06T18:00:00Z
172,HRM,Houston-Sugar Land-Baytown,29.7647877,-95.1785379,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
173,Houston Westhollow C,Houston-Sugar Land-Baytown,29.7233,-95.6358,America/Chicago,"o3,pm25",False,True,2026-03-03T11:00:00Z
174,Wallisville Road C617,Houston-Sugar Land-Baytown,29.821389,-94.99,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
175,Texas City Ball Park A147/C1022,Houston-Sugar Land-Baytown,29.3852338,-94.9315197,America/Chicago,so2,False,True,2016-03-06T18:00:00Z
176,Freeport South Avenue I C1012,Houston-Sugar Land-Baytown,28.96443,-95.35483,America/Chicago,so2,False,True,2016-03-06T18:00:00Z
177,Sheldon C551,Houston-Sugar Land-Baytown,29.8586111,-95.1602778,America/Chicago,o3,False,True,2016-03-06T18:00:00Z
178,Conroe Relocated C78/A321,Houston-Sugar Land-Baytown,30.3503017,-95.4251278,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
179,Texas City 34th St. C620,Houston-Sugar Land-Baytown,29.4057,-94.94712,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
180,Channelview C15/AH115,Houston-Sugar Land-Baytown,29.8027073,-95.1254948,America/Chicago,"no2,o3",False,True,2016-03-06T18:00:00Z
181,Houston Southwest Freeway C1066,Houston-Sugar Land-Baytown,29.7216,-95.49265,America/Chicago,no2,False,True,2016-03-06T18:00:00Z
183,Lynchburg Ferry C1015/A165,Houston-Sugar Land-Baytown,29.7616528,-95.0813861,America/Chicago,"no2,o3",False,True,2016-03-06T19:00:00Z
184,Crosby Library C553,Houston-Sugar Land-Baytown,29.9208333,-95.0683333,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
186,Houston Aldine C8,Houston-Sugar Land-Baytown,29.9011,-95.3261,America/Chicago,"no2,o3,pm25",False,True,2026-03-03T11:00:00Z
