city,latitude,longitude,pollutant,value,last_updated,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m,temperature,humidity,wind_speed,wind_direction,hour,month,day_of_week
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,co,0.38,2026-03-03 12:30:00+00:00,9.9,5000.0,1027.06,5000.0,23.14,78,1.89,142,12,3,1
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,pm25,60.0,2026-03-03 12:30:00+00:00,9.9,5000.0,1027.06,5000.0,23.14,78,1.89,142,12,3,1
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,o3,38.4,2026-03-03 12:30:00+00:00,9.9,5000.0,1027.06,5000.0,23.14,78,1.89,142,12,3,1
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,pm10,128.0,2026-03-03 12:30:00+00:00,9.9,5000.0,1027.06,5000.0,23.14,78,1.89,142,12,3,1
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,pm10,143.91,2026-03-03 12:15:00+00:00,45.74,1018.1,561.93,2515.82,27.5,17,1.28,28,12,3,1
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,no2,53.3356,2026-03-03 12:15:00+00:00,45.74,1018.1,561.93,2515.82,27.5,17,1.28,28,12,3,1
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,pm25,51.6,2026-03-03 12:15:00+00:00,45.74,1018.1,561.93,2515.82,27.5,17,1.28,28,12,3,1
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,co,0.2519,2026-03-03 12:15:00+00:00,45.74,1018.1,561.93,2515.82,27.5,17,1.28,28,12,3,1
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,o3,195.7452,2026-03-03 12:15:00+00:00,45.74,1018.1,561.93,2515.82,27.5,17,1.28,28,12,3,1
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,o3,39.4,2026-03-03 12:15:00+00:00,20.76,3782.4,5958.31,5000.0,24.22,19,0.42,270,12,3,1
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,pm10,102.15,2026-03-03 12:15:00+00:00,20.76,3782.4,5958.31,5000.0,24.22,19,0.42,270,12,3,1
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,no2,28.66,2026-03-03 12:15:00+00:00,20.76,3782.4,5958.31,5000.0,24.22,19,0.42,270,12,3,1
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,so2,17.44,2026-03-03 12:15:00+00:00,20.76,3782.4,5958.31,5000.0,24.22,19,0.42,270,12,3,1
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,pm25,36.78,2026-03-03 12:15:00+00:00,20.76,3782.4,5958.31,5000.0,24.22,19,0.42,270,12,3,1
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,co,1.23,2026-03-03 12:15:00+00:00,20.76,3782.4,5958.31,5000.0,24.22,19,0.42,270,12,3,1
"Model Town, Patiala - PPCB",30.349388,76.366642,pm10,97.14,2026-03-03 12:00:00+00:00,43.94,1199.21,4189.71,5000.0,23.39,18,1.26,12,12,3,1
"Model Town, Patiala - PPCB",30.349388,76.366642,so2,1.35,2026-03-03 12:00:00+00:00,43.94,1199.21,4189.71,5000.0,23.39,18,1.26,12,12,3,1
"Model Town, Patiala - PPCB",30.349388,76.366642,pm25,29.46,2026-03-03 12:15:00+00:00,43.94,1199.21,4189.71,5000.0,23.39,18,1.26,12,12,3,1
"Model Town, Patiala - PPCB",30.349388,76.366642,o3,20.85,2026-03-03 12:00:00+00:00,43.94,1199.21,4189.71,5000.0,23.39,18,1.26,12,12,3,1
"Model Town, Patiala - PPCB",30.349388,76.366642,no2,12.88,2026-03-03 12:00:00+00:00,43.94,1199.21,4189.71,5000.0,23.39,18,1.26,12,12,3,1
"Model Town, Patiala - PPCB",30.349388,76.366642,co,0.38,2026-03-03 12:00:00+00:00,43.94,1199.21,4189.71,5000.0,23.39,18,1.26,12,12,3,1
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,o3,27.16,2026-03-03 12:30:00+00:00,2.52,29.0,3330.52,2659.39,20.76,64,5.74,94,12,3,1
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,co,0.81,2026-03-03 12:30:00+00:00,2.52,29.0,3330.52,2659.39,20.76,64,5.74,94,12,3,1
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,so2,13.62,2026-03-03 12:30:00+00:00,2.52,29.0,3330.52,2659.39,20.76,64,5.74,94,12,3,1
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,pm10,77.49,2026-03-03 12:30:00+00:00,2.52,29.0,3330.52,2659.39,20.76,64,5.74,94,12,3,1
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,pm25,40.4,2026-03-03 12:30:00+00:00,2.52,29.0,3330.52,2659.39,20.76,64,5.74,94,12,3,1
