country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",21.258815,81.578979,NH3,4,5,4
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",21.219665,81.630094,CO,3,102,24
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21.237755,81.705301,NO2,13,30,19
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",26.2271665,84.3570427,PM2.5,45,113,76
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.735567,76.775714,NO2,6,58,20
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30.751462,76.762879,PM2.5,70,275,143
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",30.719859,76.738637,NH3,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",22.06631475,83.33820077,NH3,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC",28.815329,77.15301,PM10,127,355,200
India,Delhi,Delhi,"Alipur, Delhi - DPCC",28.815329,77.15301,NO2,30,76,51
India,Delhi,Delhi,"Alipur, Delhi - DPCC",28.815329,77.15301,NH3,13,14,14
India,Delhi,Delhi,"Alipur, Delhi - DPCC",28.815329,77.15301,CO,32,62,47
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",30.719859,76.738637,CO,21,103,37
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",21.194815,81.31477,PM2.5,13,33,21
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",21.194815,81.31477,SO2,4,10,8
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175,NO2,11,11,11
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",21.224231,81.40835,O3,3,13,12
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,PM10,94,221,141
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,NO2,32,120,58
India,Bihar,Patna,"Samanpura, Patna - BSPCB",25.596727,85.085624,NO2,6,44,25
India,Bihar,Patna,"Samanpura, Patna - BSPCB",25.596727,85.085624,SO2,3,7,5
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.366336,87.117468,PM10,59,94,74
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.366336,87.117468,SO2,11,18,16
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",22.08815,82.13737,CO,18,124,27
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",22.118125,83.140608,PM2.5,29,55,42
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",22.368195,82.746431,PM2.5,17,61,33
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",22.368195,82.746431,NH3,1,1,1
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,PM10,70,322,170
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,SO2,5,8,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158,O3,8,14,11
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",25.610369,85.132568,SO2,1,18,12
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,SO2,12,23,18
India,Delhi,Delhi,"DTU, Delhi - CPCB",28.7500499,77.1112615,NH3,9,13,12
India,Delhi,Delhi,"DTU, Delhi - CPCB",28.7500499,77.1112615,CO,20,101,40
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,CO,2,12,1
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,PM10,111,304,183
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,NO2,45,177,95
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,PM2.5,87,303,229
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,NO2,25,135,77
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",28.563262,77.186937,O3,8,95,80
India,Delhi,Delhi,"Rohini, Delhi - DPCC",28.732528,77.11992,PM2.5,75,447,306
India,Delhi,Delhi,"Rohini, Delhi - DPCC",28.732528,77.11992,NO2,26,115,77
India,Delhi,Delhi,"Rohini, Delhi - DPCC",28.732528,77.11992,SO2,7,27,12
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,PM2.5,164,448,312
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,NO2,57,179,88
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,PM10,115,491,220
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,NH3,6,9,7
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,SO2,29,37,32
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",22.977134,72.553024,SO2,1,60,26
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,SO2,26,40,35
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,O3,33,108,90
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,O3,1,72,59
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",23.016834,72.625775,NH3,3,6,4
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,PM2.5,65,197,129
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,NO2,10,40,23
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,O3,6,87,65
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,NH3,4,10,6
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,CO,7,56,45
India,Delhi,Delhi,"Mundka, Delhi - DPCC",28.684678,77.076574,NH3,9,16,11
India,Delhi,Delhi,"Mundka, Delhi - DPCC",28.684678,77.076574,SO2,21,38,29
India,Delhi,Delhi,"Mundka, Delhi - DPCC",28.684678,77.076574,O3,4,96,77
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,NO2,10,94,34
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",28.570173,76.933762,PM10,61,234,137
India,Delhi,Delhi,"Narela, Delhi - DPCC",28.822836,77.101981,CO,23,74,38
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,PM2.5,52,341,199
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,SO2,3,27,13
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,O3,1,129,99
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,PM2.5,37,220,133
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,NH3,13,34,17
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,SO2,5,27,15
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,PM2.5,3,312,93
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,PM2.5,58,220,125
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,PM10,113,222,145
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,O3,2,86,79
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,PM2.5,51,387,290
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",23.107969,72.574648,NH3,2,5,4
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,O3,1,103,89
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,CO,2,149,9
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,NO2,33,125,84
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",28.623763,77.287209,NH3,7,9,8
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,NO2,26,92,63
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,NH3,4,6,5
India,Delhi,Delhi,"Pusa, Delhi - DPCC",28.639652,77.146275,NH3,9,34,17
India,Delhi,Delhi,"Pusa, Delhi - DPCC",28.639652,77.146275,CO,41,105,56
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",28.54246,77.191651,PM10,111,257,160
India,Delhi,Delhi,"ITO, Delhi - CPCB",28.628624,77.24106,NH3,3,9,6
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,NO2,77,134,109
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",21.217779,72.834787,CO,122,141,124
India,Gujarat,Surat,"Science Center, Surat - SMC",21.170046,72.795405,SO2,23,28,25
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",22.320153,73.216285,NO2,8,45,28
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",22.320153,73.216285,NH3,1,3,2
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",22.320153,73.216285,SO2,7,19,9
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,PM10,66,430,168
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,NO2,22,146,94
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,SO2,10,29,24
