city,latitude,longitude,datetimeUtc,Temperature,Humidity,Wind Speed,Wind Direction
Pune,18.530085,73.849598,2025-02-26T21:00,23.4,52,0.6,162
Pune,18.530085,73.849598,2025-02-26T22:00,22.7,52,0.6,342
Pune,18.530085,73.849598,2025-02-26T23:00,21.9,48,0.7,360
Pune,18.530085,73.849598,2025-02-27T00:00,21.1,50,0.9,11
Pune,18.530085,73.849598,2025-02-27T01:00,20.5,55,1.1,360
Pune,18.530085,73.849598,2025-02-27T02:00,20.5,56,1.1,342
Pune,18.530085,73.849598,2025-02-27T03:00,22.6,47,0.9,323
Pune,18.530085,73.849598,2025-02-27T04:00,26.2,37,3.1,21
Pune,18.530085,73.849598,2025-02-27T05:00,29.5,31,6,61
Pune,18.530085,73.849598,2025-02-27T06:00,31.9,25,8.3,79
Pune,18.530085,73.849598,2025-02-27T07:00,33.1,21,9.6,81
Pune,18.530085,73.849598,2025-02-27T08:00,33.8,19,9.5,79
Pune,18.530085,73.849598,2025-02-27T09:00,34.4,18,9.7,74
Pune,18.530085,73.849598,2025-02-27T10:00,34.3,18,8.9,71
Pune,18.530085,73.849598,2025-02-27T11:00,34.2,17,8.6,78
Pune,18.530085,73.849598,2025-02-27T12:00,33.7,18,6.4,108
Pune,18.530085,73.849598,2025-02-27T13:00,31.6,20,5.4,104
Pune,18.530085,73.849598,2025-02-27T14:00,30.4,22,12,116
Pune,18.530085,73.849598,2025-02-27T15:00,28.7,25,5.6,268
Pune,18.530085,73.849598,2025-02-27T16:00,26.6,36,11,274
Pune,18.530085,73.849598,2025-02-27T17:00,25.5,40,6.6,261
Pune,18.530085,73.849598,2025-02-27T18:00,24.8,42,6,267
Pune,18.530085,73.849598,2025-02-27T19:00,24.2,43,6.5,238
Pune,18.530085,73.849598,2025-02-27T20:00,23.7,44,5.6,230
Pune,18.530085,73.849598,2025-02-27T21:00,23,46,5,224
Pune,18.530085,73.849598,2025-02-27T22:00,22.4,48,2.6,196
Pune,18.530085,73.849598,2025-02-27T23:00,22,49,2.8,198
Pune,18.530085,73.849598,2025-02-28T00:00,21.7,50,1.7,167
Pune,18.530085,73.849598,2025-02-28T01:00,21.5,58,0.3,135
Pune,18.530085,73.849598,2025-02-28T02:00,21.5,56,0,270
Pune,18.530085,73.849598,2025-02-28T03:00,24.2,45,0.4,333
Pune,18.530085,73.849598,2025-02-28T04:00,27.5,36,2.8,15
Pune,18.530085,73.849598,2025-02-28T05:00,30.3,29,3.9,37
Pune,18.530085,73.849598,2025-02-28T06:00,32.2,25,4.3,24
Pune,18.530085,73.849598,2025-02-28T07:00,33.7,23,5.3,10
Pune,18.530085,73.849598,2025-02-28T08:00,34.5,21,7.6,8
Pune,18.530085,73.849598,2025-02-28T09:00,35.1,20,10.7,6
Pune,18.530085,73.849598,2025-02-28T10:00,34.9,18,13.9,10
Pune,18.530085,73.849598,2025-02-28T11:00,34.7,17,10.7,22
Pune,18.530085,73.849598,2025-02-28T12:00,33.9,16,5.5,52
Pune,18.530085,73.849598,2025-02-28T13:00,32.3,20,7.1,97
Pune,18.530085,73.849598,2025-02-28T14:00,31,23,2.8,135
Pune,18.530085,73.849598,2025-02-28T15:00,29.4,25,4,297
Pune,18.530085,73.849598,2025-02-28T16:00,28.3,29,7,273
Pune,18.530085,73.849598,2025-02-28T17:00,27,34,4.8,257
Pune,18.530085,73.849598,2025-02-28T18:00,26,39,5.6,243
Pune,18.530085,73.849598,2025-02-28T19:00,25,43,6.1,236
Pune,18.530085,73.849598,2025-02-28T20:00,24.1,47,3.8,239
Pune,18.530085,73.849598,2025-02-28T21:00,23.4,50,2.8,220
Pune,18.530085,73.849598,2025-02-28T22:00,23,52,0.7,194
Pune,18.530085,73.849598,2025-02-28T23:00,22.6,53,0.9,101
Pune,18.530085,73.849598,2025-03-01T00:00,22.4,60,0.3,45
Pune,18.530085,73.849598,2025-03-01T01:00,21.6,58,0.9,11
Pune,18.530085,73.849598,2025-03-01T02:00,21.8,54,3.6,70
Pune,18.530085,73.849598,2025-03-01T03:00,24,44,1.9,73
Pune,18.530085,73.849598,2025-03-01T04:00,27.5,35,2,45
Pune,18.530085,73.849598,2025-03-01T05:00,30.9,28,1.9,124
Pune,18.530085,73.849598,2025-03-01T06:00,33,23,2.8,165
Pune,18.530085,73.849598,2025-03-01T07:00,34.5,19,1,149
Pune,18.530085,73.849598,2025-03-01T08:00,35.5,18,0.6,342
Pune,18.530085,73.849598,2025-03-01T09:00,36.2,17,4.5,317
Pune,18.530085,73.849598,2025-03-01T10:00,36.6,14,9.2,312
Pune,18.530085,73.849598,2025-03-01T11:00,35.7,15,9.9,328
Pune,18.530085,73.849598,2025-03-01T12:00,34.7,15,9.1,25
Pune,18.530085,73.849598,2025-03-01T13:00,32.8,16,4.6,315
Pune,18.530085,73.849598,2025-03-01T14:00,30,30,13.6,277
Pune,18.530085,73.849598,2025-03-01T15:00,28.6,35,8.1,257
Pune,18.530085,73.849598,2025-03-01T16:00,27.6,37,9.1,277
Pune,18.530085,73.849598,2025-03-01T17:00,26.6,39,6.3,270
Pune,18.530085,73.849598,2025-03-01T18:00,26,41,5.3,215
Pune,18.530085,73.849598,2025-03-01T19:00,25.1,44,6.4,230
Pune,18.530085,73.849598,2025-03-01T20:00,24.2,47,2,207
Pune,18.530085,73.849598,2025-03-01T21:00,23.7,49,2.3,209
Pune,18.530085,73.849598,2025-03-01T22:00,23.1,52,1.1,189
Pune,18.530085,73.849598,2025-03-01T23:00,22.7,54,0.4,153
Pune,18.530085,73.849598,2025-03-02T00:00,22.1,55,0.4,180
Pune,18.530085,73.849598,2025-03-02T01:00,21.6,60,1.3,270
Pune,18.530085,73.849598,2025-03-02T02:00,21.9,61,0.4,153
Pune,18.530085,73.849598,2025-03-02T03:00,24.2,49,2.2,66
Pune,18.530085,73.849598,2025-03-02T04:00,27.5,39,3.9,77
Pune,18.530085,73.849598,2025-03-02T05:00,30.2,29,7,72
Pune,18.530085,73.849598,2025-03-02T06:00,32,26,8.4,81
Pune,18.530085,73.849598,2025-03-02T07:00,33.5,23,5.6,92
Pune,18.530085,73.849598,2025-03-02T08:00,34.7,21,2.1,110
Pune,18.530085,73.849598,2025-03-02T09:00,35,20,2.6,231
Pune,18.530085,73.849598,2025-03-02T10:00,34.8,19,6.2,255
Pune,18.530085,73.849598,2025-03-02T11:00,34.6,18,5,226
Pune,18.530085,73.849598,2025-03-02T12:00,34.5,17,7.6,282
Pune,18.530085,73.849598,2025-03-02T13:00,33.2,18,8.3,297
Pune,18.530085,73.849598,2025-03-02T14:00,31.3,19,12.7,306
Pune,18.530085,73.849598,2025-03-02T15:00,29.6,22,8.1,287
Pune,18.530085,73.849598,2025-03-02T16:00,28.1,29,10,293
Pune,18.530085,73.849598,2025-03-02T17:00,27,32,8.5,291
